낭비비,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.0,62,358,562,775,1012,1362,1808,2364,3475,4707,5673
0.1,623,890,1073,1265,1478,1793,2194,2695,3695,4804,5673
0.2,1184,1421,1584,1755,1945,2224,2581,3026,3914,4900,5673
0.3,1746,1953,2096,2245,2411,2655,2967,3357,4134,4997,5673
0.4,2307,2484,2607,2734,2877,3086,3354,3688,4354,5094,5673
0.5,2868,3016,3118,3224,3343,3518,3740,4019,4574,5190,5673
0.6,3429,3547,3629,3714,3809,3949,4127,4349,4794,5287,5673
0.7,3990,4079,4140,4204,4275,4380,4513,4680,5014,5383,5673
0.8,4551,4610,4651,4693,4741,4811,4900,5011,5233,5480,5673
0.9,5112,5141,5162,5183,5207,5242,5286,5342,5453,5576,5673
1.0,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673,5673
