"구분","1h","2h","3h","4h","5h","6h","7h","8h","9h","10h","11h","12h","13h","14h","15h","16h","17h","18h","19h","20h","21h","22h","23h","24h","최소","최대","평균"
"20230101","207.31","185.64","181.23","163.51","160.98","181.23","182.2","184.54","207.52","207.88","207.88","165.73","163.37","165.58","165.58","165.58","217.79","218.73","266.16","219.52","217.59","216.49","214.57","217.56","160.98","266.16","196.76"
"20230102","212.29","210.49","210.75","211.71","211.71","211.71","214.13","261.02","268.59","274.6","274.54","270.63","257.36","260.01","265.97","272.81","272.88","272.88","272.81","270","261.82","247.26","247.1","251.27","210.49","274.6","252.34"
"20230103","250.63","250.27","226.9","226.9","233.98","250.59","250.63","263.98","281.86","270.5","269.01","269.01","263.01","264.38","263.16","255.45","266.71","269.01","266.72","263.93","250.51","250.54","250.54","250.59","226.9","281.86","257.58"
"20230104","265.88","249.46","249.5","241.2","241.2","249.37","249.5","262.74","277.96","275.65","272.79","269.49","258.57","258.57","269.49","272.87","272.94","280.94","272.87","262.69","262.71","249.78","249.39","253.79","241.2","280.94","262.17"
"20230105","258.94","252.88","241.09","241.09","248.97","247.45","253.17","253.11","273.54","273.61","277.27","273.53","258.32","259.16","273.53","273.53","273.56","273.53","273.53","263.84","263.03","249.83","253.36","249.83","241.09","277.27","261.74"
"20230106","249.15","247.94","247.97","247.1","247.97","247.1","247.97","264.04","277.96","282.99","287.23","285.58","276.21","276.22","285.12","278.89","277.25","270.36","270.05","263.3","262.05","251.49","248.91","251.46","247.1","287.23","265.65"
"20230107","249.28","245.62","245.64","241.53","236.56","245.64","245.64","245.64","250.6","251.06","251.23","275.48","269.33","269.33","251.31","251.21","250.58","250.6","251.69","250.71","250.63","241.78","250.65","250.66","236.56","275.48","251.04"
"20230108","241.83","243.85","213.94","213.84","213.84","213.84","213.84","236.19","243.22","243.63","248.53","248.52","248.36","248.44","248.51","248.51","252.38","252.86","253.05","252.41","252.41","243.26","243.78","244.5","213.84","253.05","240.49"
"20230109","240.46","213.89","211.27","211.16","210.92","210.92","212.97","237.42","273.48","277.22","280.98","271.81","258.92","273.48","277.83","277.83","277.83","266.91","258.92","251.03","249.85","248.2","248.24","248.28","210.92","280.98","252.63"
"20230110","253.66","230.51","230.51","230.51","230.51","230.51","237.58","248.5","269.83","283.04","274.3","265.48","250.01","251.66","252.73","261.25","276.99","269.15","268.79","252.74","249.91","249.3","249.3","249.34","230.51","283.04","253.96"
"20230111","239.69","239.68","213.57","213.53","213.53","236.34","242.64","245.68","279.42","279.46","279.42","275.08","252.15","252.57","252.54","252.6","252.58","252.6","252.59","251.28","251.3","249.28","249.28","249.32","213.53","279.46","250.18"
"20230112","241.45","212.97","209.32","209.32","209.32","215.07","239.64","244.29","268.51","264.12","255.59","259.97","251.29","252.21","253.8","267.19","255.05","259.5","252.38","252.35","250.4","250.43","250.42","250.38","209.32","268.51","246.01"
"20230113","214.85","214.85","214.85","214.85","214.85","214.8","215.58","240.78","262.38","266.99","267.01","268.72","258.24","266.64","266.64","266.64","266.64","253.88","251.78","250.72","250.72","250.72","250.79","250.79","214.8","268.72","247.82"
"20230114","218.46","217.62","164.79","164.79","164.79","164.79","210.89","209.18","218.24","252.96","254.09","255.18","247.53","241.49","247.53","243.36","229.35","229.18","247.02","243.39","238.11","238.11","229.35","231.35","164.79","255.18","224.45"
"20230115","261.62","214.07","213.37","214.07","214.07","214.07","236.17","236.17","243.79","244.91","248.55","248.6","248.45","246.8","252.44","252.92","252.29","252.3","252.31","252.32","245.37","236.17","236.17","214.06","213.37","261.62","238.81"
"20230116","221.35","164.02","165.65","164.02","164.02","164.02","165.65","218.81","263.7","264.78","263.22","261.73","253.22","253.26","253.25","253.25","258.17","258.42","253.3","251.19","249.79","249.2","249.2","249.24","164.02","264.78","233.99"
"20230117","245.71","214.84","214.69","214.69","214.69","214.59","234.81","251.46","282.93","270.9","263.88","259.84","255.96","258.62","257.33","263.39","275.66","275.66","275.41","263.13","249.3","247.95","247.95","247.99","214.59","282.93","251.91"
"20230118","245.71","238.83","230.11","230.11","230.11","230.11","259.54","259.85","277.96","277.07","265.92","263.15","252.45","259.81","261.48","265.32","272.01","272.01","265.86","258.21","251.46","247.78","247.81","247.81","230.11","277.96","255.78"
"20230119","245.71","245.59","234.97","234.97","234.97","234.97","265.96","265.86","275.24","275.24","274.97","273.36","257.1","261.5","262.38","279.48","277.13","277.04","262.95","251.51","248.58","248.58","248.6","248.6","234.97","279.48","258.78"
"20230120","217.54","213.79","213.62","213.67","213.62","214.18","245.57","241.03","254.56","254.56","254.51","251.47","249.99","249.94","249.94","245.69","245.48","245.51","245.54","245.59","238.37","235.55","217.09","231.9","213.62","254.56","237.65"
"20230121","214.85","211.21","166.17","163.95","163.95","163.95","164.48","163.95","166.17","166.17","166.17","166.09","164.43","163.59","163.51","137.08","139.12","163.51","207.41","207.52","163.59","165.72","165.72","165.72","137.08","214.85","171.06"
"20230122","163.57","146.6","145.28","141.66","141.66","144.32","160.98","160.98","144.96","137.16","136.57","136.57","136.57","124.06","136.57","138.11","144.64","163.44","165.12","165.8","163.59","163.44","165.8","165.87","124.06","165.87","150.58"
"20230123","163.57","163.66","155.16","142.58","142.58","161.46","163.66","163.66","165.87","138.46","136.67","121.53","93.58","131.07","136.67","138.11","163.19","232.06","270.88","266.16","232.06","215.34","226.18","215.34","93.58","270.88","176.7"
"20230124","165.5","155.16","146.29","146.29","146.29","155.16","165.5","165.5","163.95","166.17","207.88","202.31","166.17","163.95","166.17","155.16","206.32","232.06","258.64","250.57","247.67","232.06","231.22","232.06","146.29","258.64","190.86"
"20230125","218.65","163.52","163.52","163.52","163.52","163.52","211.39","255.01","267.55","267.77","282.1","269.85","250.44","250.47","258.29","258.41","259.01","267.3","267.26","265.72","250.4","246.89","246.89","251.46","163.52","282.1","239.69"
"20230126","248.22","247.3","240.87","240.83","240.76","240.87","247.23","263.39","282.31","287.31","287.16","269.69","269.64","269.57","269.57","269.57","269.98","269.83","268.89","265.51","262.26","262.26","255.32","262.26","240.76","287.31","263.38"
"20230127","253.79","246.32","245.76","245.76","245.76","246.46","246.46","259.3","288.1","283.04","271.47","266.59","260.76","266.35","266.36","273.48","274.05","274.06","267.57","264.19","262.26","257.42","262.04","262.05","245.76","288.1","263.09"
"20230128","249.94","246.31","246.31","235.29","235.29","241.23","246.31","254.79","255.43","254.78","255.29","250.22","249.73","246.13","246.32","244.75","246.66","250.55","251.06","250.61","249.98","249.88","250.06","250.4","235.29","255.43","248.37"
"20230129","163.95","146.87","137.73","137.73","137.73","137.73","140.89","158.39","248.46","248.47","248.58","248.6","248.47","248.49","248.52","234.32","248.44","252.4","285","252.42","251.98","246.52","247.37","246.25","137.73","285","218.51"
"20230130","218.65","197.18","184.43","184.69","203.37","203.37","211.29","260.24","271.36","275.3","275.23","275.23","260.49","260.49","261.67","263.14","269.62","288.96","284.65","274.33","269.49","261.5","261.5","261.5","184.43","288.96","253.28"
"20230131","257.92","257.63","238.65","238.65","238.65","250.29","250.29","257.41","272.79","272.82","272.82","278.91","264.34","272.75","272.75","272.75","274.74","272.75","262.39","262.23","250.76","249.95","249.95","249.95","238.65","278.91","261.15"
